,Birth,Death,Dimension
719,1.361696720123291,1.3669513463974,2
720,1.3600194454193115,1.361225962638855,2
721,1.3593274354934692,1.3628789186477661,2
722,1.3584667444229126,1.3729585409164429,2
723,1.3565913438796997,1.358728051185608,2
724,1.354112982749939,1.3560552597045898,2
725,1.3460850715637207,1.3462179899215698,2
726,1.3414361476898193,1.3531614542007446,2
727,1.3398175239562988,1.3695346117019653,2
728,1.339772343635559,1.3445348739624023,2
729,1.3380870819091797,1.3410581350326538,2
730,1.3367564678192139,1.3543578386306763,2
731,1.3347052335739136,1.3420778512954712,2
732,1.3347052335739136,1.3752530813217163,2
733,1.3286583423614502,1.3537378311157227,2
734,1.3286508321762085,1.3535486459732056,2
735,1.3262677192687988,1.3347651958465576,2
736,1.3250879049301147,1.3518332242965698,2
737,1.32262122631073,1.3461812734603882,2
738,1.3219633102416992,1.3304296731948853,2
739,1.3213852643966675,1.3515313863754272,2
740,1.3153767585754395,1.3168439865112305,2
741,1.312422513961792,1.3143694400787354,2
742,1.3050976991653442,1.3234398365020752,2
743,1.2999638319015503,1.3439888954162598,2
744,1.2981178760528564,1.3000288009643555,2
745,1.2976397275924683,1.3000584840774536,2
746,1.2952489852905273,1.3034734725952148,2
747,1.2939038276672363,1.2973041534423828,2
748,1.2913051843643188,1.29637610912323,2
749,1.291284203529358,1.2974705696105957,2
750,1.291284203529358,1.2979145050048828,2
751,1.2866212129592896,1.2932478189468384,2
752,1.2854734659194946,1.2892544269561768,2
753,1.2724369764328003,1.2747113704681396,2
754,1.2623188495635986,1.2728523015975952,2
755,1.2613416910171509,1.26560378074646,2
756,1.2601388692855835,1.2723135948181152,2
757,1.2565786838531494,1.2586345672607422,2
758,1.254954218864441,1.2613996267318726,2
759,1.2538899183273315,1.2555030584335327,2
760,1.2527421712875366,1.2572907209396362,2
761,1.2524352073669434,1.2585241794586182,2
762,1.242843508720398,1.247285008430481,2
763,1.2407376766204834,1.2497351169586182,2
764,1.2396023273468018,1.2412763833999634,2
