,Lifetime_dim0,Lifetime_dim1,Lifetime_dim2
180,307.3174145,9.982865363,0.645552725
181,162.8493099,3.120444551,0.247706294
182,255.8956136,13.76273446,0.960679889
183,795.0400619,39.87621075,2.961005449
184,417.6669303,12.18275233,0.272187948
185,479.1438203,42.15157819,3.402070999
186,268.5761689,10.16033661,0.052374065
187,395.812823,43.00085598,7.818314493
188,671.2136865,26.10345024,3.519417048
189,228.6715851,14.37672818,0.975728333
190,420.1797096,28.74566221,1.936868548
191,747.1262242,56.793037,5.483074307
192,370.1802433,19.5600701,1.002827883
193,222.569829,14.80804339,0.806513458
194,285.3065607,10.2798546,1.230231941
195,150.8972953,3.119624227,0.646814853
196,494.0564263,21.37840107,3.072801769
197,550.9575034,22.08612776,1.18049252
198,936.6922072,88.46406639,6.232106447
199,398.8809102,19.73230731,1.107903302
200,184.0395157,17.11246599,1.556126311
201,286.5028556,9.950613409,0.347958565
202,763.3323404,53.42436481,7.707150459
203,552.027718,45.65428817,4.616552174
204,620.0460473,35.97262377,4.467236519
205,282.846118,32.42488274,2.764291495
206,846.7035518,32.98682523,1.995499581
207,352.7636562,21.94132066,3.142915249
208,314.549972,18.19730434,3.39376533
209,310.5327012,18.44513077,0.952071965
210,541.926688,41.65892273,4.810278773
211,388.5666797,24.35929239,5.587043285
212,372.8369313,22.28872561,1.244076014
213,672.8491706,30.90375674,4.147096515
214,246.0755473,8.807911202,0.523076773
215,387.2959276,32.57488349,10.78161389
216,696.7902329,54.80173683,8.712252617
217,328.8281117,12.09519979,1.855597854
218,394.3156835,30.07523263,1.814355135
219,421.7013436,47.4366715,4.664486289
220,350.5614121,15.9020049,1.096162707
221,276.5209572,24.91139141,5.564416677
222,550.5847469,36.06701943,4.361053467
223,442.4648152,35.01463726,10.22841233
224,291.1612107,18.45643762,3.743037045
225,162.9053482,8.368942678,0.348160654
226,473.956541,30.0363698,1.982380807
227,262.6064815,20.90343636,2.32599932
228,466.2078778,41.14426506,5.216986835
229,287.0805422,16.29505482,2.974358648
230,578.3871602,61.65596962,13.07909483
231,385.9334987,47.99227351,6.906735897
232,486.3390301,45.36697429,3.774462819
233,617.7138136,41.6614846,2.943369985
234,165.1982369,11.94753734,0.351358786
235,314.6801662,21.5680981,0.419630051
236,448.4638146,18.37126705,0.733277187
237,358.1692756,14.99455871,1.914527774
238,542.6084188,41.38037771,1.977191389
239,293.2218093,14.80138737,2.059815913
240,422.57366,25.2737304,4.08351779
241,293.7311689,13.80013253,0.792204022
242,662.825782,78.04715443,10.76405144
243,798.0957591,68.03559685,15.40405369
244,117.6923899,5.834985718,0.132928401
245,353.9662479,27.93826127,3.269050479
246,325.3796364,36.80920354,2.073344588
247,305.7296319,18.82453161,2.445747554
248,798.3832948,54.02139974,12.12393832
249,347.6073633,39.91961038,7.164286613
250,281.7430876,8.129322886,1.077221006
251,362.3759334,16.4511632,0.37123549
252,266.9681144,8.899285913,0.785618007
253,227.4128127,12.40004253,2.460745543
254,482.3970863,42.86598268,2.300786316
255,486.0434642,44.36796063,5.223412633
256,932.0483721,108.6333742,14.04089117
257,514.5845468,42.6474272,7.112345934
258,282.2930843,19.2387282,2.723181903
259,285.9021597,16.54335395,1.686961651
260,245.0463623,2.792892188,0.15524739
261,254.6079073,14.62701057,1.755798578
262,499.6412326,70.65736419,11.90924799
263,714.3289331,44.36841464,9.754479408
264,697.1936471,61.51427054,8.555277705
265,369.4132921,34.31049812,1.922243893
266,274.8159752,7.285828412,0.090920329
267,217.9002549,7.905522659,0.383139014
268,308.9370286,13.73701119,0.605505466
269,303.158138,17.09226209,0.937947348
270,315.0419846,17.63788208,0.661432385
271,228.2921714,17.96870306,1.676133007
272,4438.622344,234.3064513,62.57445908
273,680.0969603,46.47736639,5.938250899
274,465.9529571,31.6266284,8.728282809
275,250.8063424,13.86177985,1.397012115
276,430.0492121,44.97143301,5.061688304
277,435.8191208,26.76596206,5.219306886
278,679.6689323,63.34710371,11.56645525
279,739.1370351,62.58681875,9.365570724
280,267.9225267,29.26847005,4.554702222
281,538.6354681,56.43220514,13.87041825
282,281.6512029,13.15856907,1.6700809
283,336.7305107,25.29274847,2.051871479
284,462.4107612,36.27996284,4.523994446
285,815.9881112,76.32823694,16.88038599
286,464.9554792,37.84629521,5.637485921
287,625.7542883,22.63331366,1.817417145
288,603.8423149,60.57683957,0.893547714
289,452.4632285,45.32283199,5.586969197
290,215.2691845,14.51685798,0.691330165
291,318.8716094,19.55492806,1.768822312
292,307.510406,18.20626512,0.668120086
293,582.001823,72.02190524,9.894674838
294,538.3620782,49.57565594,7.812282741
295,234.5283031,8.051832408,1.140433311
296,587.791633,35.88754487,1.405123591
297,477.7244561,21.88162529,1.457488418
298,366.7108645,21.6671837,7.136597633
299,333.2442253,29.822083,0.994491547
300,325.0328569,23.63061026,4.417800188
301,192.2516032,12.95186001,1.295933396
302,117.96728,4.145285338,0.34057498
303,568.8723629,41.45189905,2.777427495
304,823.2058274,45.51288867,1.822748899
305,279.452294,20.18673754,1.349596798
306,258.7525655,13.13196769,2.580535531
307,430.2594898,52.52609503,7.154489279
308,324.6503613,12.37738779,1.506019175
309,329.4673518,34.39103574,4.161691189
310,579.5837938,47.97730958,9.708135366
311,861.102065,58.19096154,8.203393102
312,311.2551161,20.60322812,2.007668525
313,362.1909396,23.44191885,4.592929721
314,370.6203867,24.75710407,4.051608145
315,364.4052744,24.93756524,1.590392292
316,331.3046259,19.3894195,4.088178575
317,1122.503971,135.7773395,44.94575572
318,391.6368046,35.19065306,4.753738165
319,382.1432964,26.21930268,2.887881577
320,836.7434419,53.02596867,8.930582881
321,399.8731919,16.46196419,1.867537141
322,252.1515672,10.33443697,0.56910038
323,450.1507441,46.3872304,9.844910622
324,283.7768116,18.23283541,5.150215119
325,534.705485,17.61514917,2.574308455
326,301.9774108,15.94741209,1.411522985
327,485.5631312,47.02534068,8.526915371
328,624.3802114,61.93809879,9.913919091
329,285.2734878,25.49753371,1.158973128
330,162.8767515,5.956953317,0.353447914
331,228.9637408,11.55400717,1.438627779
332,830.4692439,65.8515237,7.255272388
333,390.4012493,21.7511754,2.290281594
334,282.872992,12.19289663,1.158075094
335,187.5362083,4.785081059,0.473390728
336,642.75474,63.44658923,11.05062282
337,269.3369254,6.289476112,0.408031642
338,397.0753072,41.58577901,4.43286401
339,984.165812,109.4960126,29.35100591
340,488.6025988,37.84685451,4.952441216
341,650.8801368,46.9480899,13.56521702
342,421.0471337,38.15492105,3.350137651
343,407.7321104,28.37663418,2.636829138
344,786.0566877,78.01649338,20.77892232
345,538.4843343,48.75899586,5.176930547
346,647.1087606,62.08977979,18.81471217
347,543.4832091,35.28359562,6.98815155
348,469.8756391,50.5345487,5.663518667
349,363.1209872,14.62254791,1.466127157
350,463.0193743,38.6876632,8.756255329
351,289.3309758,14.45848905,0.904257178
352,525.0046621,42.4396987,9.552385211
353,259.5514955,7.157939643,0.869792074
354,431.0856273,45.57649904,2.815004587
355,128.4934642,7.721451238,0.734868377
356,394.3967474,19.7439616,2.312072635
357,845.4886397,81.71102196,14.23314023
358,1176.799711,54.64045471,3.715604365
359,238.5774485,15.90570459,1.150870889
360,360.1830431,19.42254508,2.274074256
361,459.0453016,37.24209267,9.797795653
362,347.79523,21.92247555,1.402059555
363,408.4410614,20.26604781,4.30102855
364,351.2817916,19.97529811,4.425806344
365,339.6577459,13.65950659,1.645648062
366,531.3494157,39.77322572,3.61427474
367,787.7382185,48.70643789,2.169178247
368,405.5749101,29.32573318,1.839248538
369,292.0873194,24.1538752,2.590316862
370,870.9677694,100.9758641,45.42279804
371,311.0842313,13.49676585,3.094519019
372,318.0372158,20.32703871,3.196930885
373,463.7115358,48.98199195,6.80810684
374,820.5123707,88.95635486,17.96086919
375,452.0874147,38.06693053,3.453063786
376,211.4522863,10.3668336,0.817909718
377,385.6930205,30.34538984,7.439804971
378,348.3653639,21.54666996,1.345185488
379,448.9432826,33.49864116,2.093931198
380,304.5851104,18.70169121,1.088941753
381,172.258868,12.01825507,0.648867011
382,432.3015953,35.45484304,2.924216628
383,292.1614077,22.81261572,3.641417861
384,322.9053927,19.56461459,2.115071863
385,395.5347481,40.27803978,3.105272889
386,684.9075754,97.84837395,14.53629744
387,564.4446493,31.36528966,1.464134812
388,372.505282,39.95469248,2.446298897
389,434.1643113,55.03942886,7.297662079
390,211.9701177,9.355684109,0.210795268
391,501.1558237,41.1388234,1.444680154
392,754.5811007,63.43532258,9.236592531
393,523.9768486,52.52568346,4.354261816
394,1074.711225,74.08034205,6.386982799
395,311.5325984,17.06922716,0.214710176
396,372.6951214,24.70670059,4.424042284
397,195.9630995,7.431482464,0.747011438
398,465.7377014,24.6955623,6.54785955
399,916.9791561,80.38945055,8.791708112
400,910.2500205,48.37192178,2.650851488
401,495.9193503,13.1210717,0.828224897
402,644.4840761,47.69247609,3.805826664
403,665.0928837,23.76641297,1.738952875
