,0
146,323.1153846
147,222.721519
148,305.5185185
149,221.5526316
150,259.4375
151,231.2972973
152,266.5806452
153,184.893617
154,266.7419355
155,179.9574468
156,142.0169492
157,251.4492754
158,187.9777778
159,418.2105263
160,189.1777778
161,229.7631579
162,244.6764706
163,291.3103448
164,178.3571429
165,260.375
166,285.0689655
167,220.2727273
168,264.9677419
169,279.6896552
170,242.2285714
171,272.2903226
172,219.9459459
173,278.7894737
174,191.3111111
175,271.8709677
176,276.5
177,222.7894737
178,190.3333333
179,248.4117647
180,222
181,149.9827586
182,272.4150943
183,280.4827586
184,265.3870968
185,197.2790698
186,300.7692308
187,222.4473684
188,227.4864865
189,161.3396226
190,284.4666667
191,259.3939394
192,271.3333333
193,215.2564103
194,233.9444444
195,248.6190476
196,87.5
197,288.0689655
198,257.3125
199,314.4074074
200,204.1904762
201,196.3125
202,253.5942029
203,155.9821429
204,165.2692308
205,158.8269231
206,309.7407407
207,252.8235294
208,246.5757576
209,224.9210526
210,317.7692308
211,174.6341463
212,180.3695652
213,232.25
214,244
215,237.5890411
216,183.4130435
217,226.1388889
218,340.5833333
219,214.775
220,186.5652174
221,231.1666667
222,280.2413793
223,216.525
224,258.78125
225,142.3666667
226,225.7631579
227,208.9512195
228,340.8
229,94.75
230,199.1818182
231,214.0121951
232,286.5172414
233,216.175
234,226.1351351
235,249.7368421
236,265.6923077
237,363.7826087
238,268.4516129
239,204.125
240,191.0681818
241,265.9090909
242,234
243,333.6
244,309.7407407
245,223.0877193
246,271.7666667
247,248.6470588
248,233.3055556
249,354.3043478
250,273.8095238
251,381.2888889
252,221.2307692
253,200.8292683
254,241.2
255,379.4705882
256,253.2727273
257,195.7777778
258,251
259,193.2413793
260,227.8289474
261,274.5396825
262,266.4516129
263,242.9411765
264,183.5
265,264.5625
266,302.3214286
267,182.1956522
268,272.2539683
269,200.4047619
270,245.5882353
271,203.6428571
272,275.3870968
273,289.3103448
274,216.0512821
275,266.2307692
276,224.1052632
277,255.6060606
278,329.28
279,249.5294118
